,Datetime,Tweet Id,Text,Username
0,2020-10-30 23:58:42+00:00,1.32233E+18,"@YDPNIG_ The were was nowhere to be found o, if not for social media who sabi him.He now want to block way of means for the struggling youth when he don make am. Nah Ogun go kill you and your family Desmond Elliot. Oni doti jati jati.",Tessy03555206
1,2020-10-30 23:58:07+00:00,1.32233E+18,I am just recovering from  the shock caused by the numerous happenings that unfolded since the Lekki Massacre. I was doing well until Desmond Elliot gave another blow.. I'm back on bed.,constantKAYng
2,2020-10-30 23:57:28+00:00,1.32233E+18,Don't mind Desmond Elliot. Media bill will limit people posting anything new/or information relating to the killings at Lekki even if they are facts. https://t.co/A0dTgkM7pk,BOTOBO1
3,2020-10-30 23:57:02+00:00,1.32233E+18,Dear @DesmondElliot_ you are a disgrace! https://t.co/Ne3yt9wEDT,oodije
4,2020-10-30 23:57:02+00:00,1.32233E+18,@AriseTVNews x @Mbahdeyforyou this one na fact o.. Na to show Desmond elliot abi? https://t.co/fMuN80qgHD,sblconsultsman1
5,2020-10-30 23:55:56+00:00,1.32233E+18,"IS THIS DESMOND IDIOT 😡?
Or Desmond Elliot ?

Oga u no just know itself

😠✊✊EDO WE MOVE ✊✊😠
#EndSARS 
#EndSarsNow
#EndSarsAnthem
#EndBadGoveranceInNigeria 
#EndBadGovernment 
#EndSWAT 
#tundeednut 
#EdoProtest
#falzthebahdguy
#CNN 
#UnitedNations 
#bbcnews 
#AlJazeera https://t.co/D5DbD7AIHC",aquariusalpaci1
6,2020-10-30 23:55:18+00:00,1.32233E+18,@brownishvera @MBuhari @DesmondElliot_ If them no gree hear that means them go SEHSIN big time niyen🔊🔊🔊,ola_nm231
7,2020-10-30 23:55:06+00:00,1.32233E+18,DESMOND ELLIOT TO STEP DOWN FROM LAGOS HOUSE OF ASSEMBLY https://t.co/aHgBqKFioJ via @YouTube,wizzy_f12
8,2020-10-30 23:54:24+00:00,1.32233E+18,"Just want to put it out there that..
Desmond Elliot can not have sense again, it's too late for the morafucka..
Now I understand why Genevieve do give him hot slaps in the movies, it's because she realized it long B4 us..
Werey dey disguise",fairmea_femi
9,2020-10-30 23:53:52+00:00,1.32233E+18,"Desmond Elliot is a mug, where's the bridge? That thing? 🙆🏾‍♀️🙆🏾‍♀️ https://t.co/pHDYDd3wcl",udarammicha
10,2020-10-30 23:53:43+00:00,1.32233E+18,"Revealed! Desmond Elliot called for social media regulation after Nigerians dragged his side chic, Dr Anu https://t.co/iojHfUuWfG",NewscastarsCom
11,2020-10-30 23:53:25+00:00,1.32233E+18,Desmond Elliot just Made @jinny_savage_ @davido @iRuntown  @wizkidayo @burnaboy @iDanDizzy @DONJAZZY @Jaynaijadotcom @Symply_Tacha @falzthebahdguy @crayonthis @Dremodrizzy @Peruzzi @officialnairam1 @nollywoodtweets @IamMayorKun @PulseNigeria247 9ja🇳🇬 Stars ✨ Lose respect 4 Him💯 https://t.co/06geHwfuL3,_Scarface4_
12,2020-10-30 23:53:08+00:00,1.32233E+18,@realGoshen @SaharaReporters I didn’t expect such response from u. Abi no be naija u Dey. Don’t DesmondElliot pls 😌😌,itsboo_ffalo
13,2020-10-30 23:52:39+00:00,1.32233E+18,I need Jon Ossof to talk to Desmond Elliot for just 5 min 😆😆😆😆,BWLawal
